"id","source","organization_name","address_line","postal_code"
"gleif-20S05OYHG0MQM4VUIC57","GLEIF","FORD MOTOR COMPANY","C/O THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST, WILMINGTON, US-DE","19801"
"sec-0000037996","SEC","FORD MOTOR CO","ONE AMERICAN ROAD, DEARBORN, MI","48126"
"gleif-54930070NSV60J38I987","GLEIF","GENERAL MOTORS COMPANY","251 Little Falls Drive, Wilmington, US-DE","19808"
"sec-0001467858","SEC","General Motors Co","1240 WOODWARD AVENUE, DETROIT, MI","48265"
"gleif-LUZQVYP4VS22CLWDAR65","GLEIF","3M COMPANY","C/O CORPORATION SERVICE COMPANY 251 LITTLE FALLS DRIVE, WILMINGTON, US-DE","19808"
"sec-0000066740","SEC","3M CO","3M CENTER BLDG. 220-9E-02, ST PAUL, MN","55144-1000"
"gleif-R4PP93JZOLY261QX3811","GLEIF","AMERICAN EXPRESS COMPANY","C/O C T CORPORATION SYSTEM 28 LIBERTY ST., NEW YORK, US-NY","10005"
"sec-0000004962","SEC","AMERICAN EXPRESS CO","200 VESEY STREET 50TH FLOOR, NEW YORK, NY","10285"
"gleif-D01LMJZU09ULLNCY6Z23","GLEIF","UNITED PARCEL SERVICE, INC.","C/O CORPORATION SERVICE COMPANY 251 LITTLE FALLS DRIVE, WILMINGTON, US-DE","19808"
"sec-0001090727","SEC","UNITED PARCEL SERVICE INC","55 GLENLAKE PARKWAY NE, ATLANTA, GA","30328"
